index,url,rest_price_idr,review,lat,long,is_chain,rating,new_code_res_type,rank_res_type,new_code_fac,rank_fac,encode,geohash,d_1000_airport,d_1000_atm,d_1000_bank,d_1000_cafe,d_1000_convenience_store,d_1000_gas_station,d_1000_hospital,d_1000_lodging,d_1000_meal_takeaway,d_1000_mosque,d_1000_park,d_1000_restaurant,d_1000_school,d_1000_store,d_1000_supermarket,d_1000_train_station,en_1000,n_compt_1000
22,https://www.zomato.com/jakarta/sei-sapi-kana-kelapa-gading/info,80000.0,34.0,-6.145963,106.905709,0,3.0,4,0,4,0,00000000000000000000000000000000000010000000000000000000000000000000000000000000000000,qquj09,0.0,30.0,31.0,40.0,21.0,1.0,3.0,18.0,4.0,10.0,6.0,38.0,32.0,38.0,16.0,0.0,2.3770392842046606,0.18518518518518517
23,https://www.zomato.com/jakarta/dimsum-go-kelapa-gading/info,200000.0,173.0,-6.157258,106.908423,0,4.0,0,109,4,0,00000000000000000000000100000000000000000000000000000000000000000000000000000000000000,qquhbz,0.0,91.0,80.0,33.0,13.0,5.0,9.0,18.0,7.0,2.0,16.0,37.0,35.0,46.0,25.0,0.0,2.2833788616472956,0.024390243902439025
24,https://www.zomato.com/jakarta/onokabe-kelapa-gading/info,300000.0,151.0,-6.17497,106.894833,0,3.8,2,1,0,1570,00000000000000000000000000000000000000100000000000000000000000000000000000000000000000,qquhb7,0.0,47.0,72.0,101.0,67.0,12.0,38.0,56.0,96.0,31.0,2.0,69.0,27.0,103.0,17.0,0.0,2.4265924627916307,0.0625
25,https://www.zomato.com/jakarta/java-kitchen-kelapa-gading/info,160000651.0,53.0,-6.1672136449,106.9010864943,1,3.5,1,5,0,829,00000000000000000000000000000000000000010000000000000000000000000000000000000000000000,qquhbt,0.0,57.0,84.0,39.0,29.0,2.0,30.0,47.0,36.0,8.0,17.0,72.0,32.0,58.0,14.0,0.0,2.4298077532939164,0.0449438202247191
26,https://www.zomato.com/jakarta/doner-kebab-1-kelapa-gading/info,80000.0,59.0,-6.156041,106.909539,1,3.3,0,151,0,6,00000000000000000000000000100000000000000010000000000000000000000000000000000000000000,qquhbz,0.0,89.0,88.0,46.0,18.0,5.0,10.0,21.0,9.0,4.0,17.0,51.0,48.0,53.0,30.0,0.0,2.3295128815090593,0.03260869565217391
27,https://www.zomato.com/jakarta/soto-betawi-nyonya-afung-express-kelapa-gading/info,100000.0,81.0,-6.150609,106.89148,0,3.6,4,0,1,2,00000000000000000000000000000000000010000000000000000000000000000000000000000000000000,qquj02,0.0,76.0,62.0,41.0,22.0,38.0,12.0,30.0,6.0,8.0,1.0,68.0,35.0,49.0,30.0,0.0,2.3895993494989103,0.13043478260869565
28,https://www.zomato.com/jakarta/xin-jang-satay-kelapa-gading/info,80000.0,19.0,-6.1710656589,106.8982755393,0,3.7,0,172,0,836,00000000000000000001000000000000000000000000000000000000000000000100000000000000000000,qquhbs,0.0,53.0,68.0,101.0,67.0,13.0,12.0,55.0,122.0,39.0,6.0,78.0,33.0,104.0,32.0,0.0,2.4260849455629625,0.25
29,https://www.zomato.com/jakarta/voguerina-taipei-kelapa-gading/info,80000.0,27.0,-6.145790724,106.8917866051,0,3.3,0,12,0,5,00000100000000000000000000000000000000000000000000000000000000000000000000000000000000,qquj03,0.0,53.0,43.0,39.0,22.0,13.0,16.0,28.0,7.0,8.0,2.0,45.0,26.0,40.0,12.0,0.0,2.425585105840133,0.0375
30,https://www.zomato.com/jakarta/sandjaja-kelapa-gading/info,200000.0,82.0,-6.1704206585,106.8994255364,0,3.8,0,248,0,20,00000000000000000000000000000000000000010000000000000000000000000010000000000000000000,qquhbs,0.0,54.0,65.0,94.0,67.0,10.0,12.0,58.0,114.0,35.0,6.0,77.0,23.0,95.0,29.0,2.0,2.428196608972599,0.13114754098360656
31,https://www.zomato.com/jakarta/ojju-kelapa-gading/info,200000.0,78.0,-6.1507792713,106.8916605413,1,3.8,0,10,0,81,00000000000000000000000000000000000000000001000000000000000000000000000000000000000000,qquj02,0.0,78.0,63.0,41.0,23.0,38.0,12.0,30.0,6.0,8.0,1.0,69.0,31.0,49.0,32.0,0.0,2.3860700599920515,0.11594202898550725
32,https://www.zomato.com/jakarta/mcdonald-s-kelapa-gading/info,100000.0,177.0,-6.14676,106.89642,1,4.1,0,37,0,37,00000000000000000000000000100000000000000000000000000000000000000000000000000000000000,qquj03,0.0,43.0,30.0,39.0,21.0,10.0,17.0,30.0,8.0,4.0,5.0,48.0,28.0,37.0,13.0,0.0,2.4444686773434885,0.0
33,https://www.zomato.com/jakarta/bakso-boedjangan-kelapa-gading/info,100000.0,382.0,-6.161882,106.90417,1,3.1,0,106,1,2,00000011000000000000000000000000000010000000000000000000000000000000000000000000000000,qquhbw,0.0,123.0,123.0,72.0,38.0,7.0,10.0,48.0,13.0,16.0,8.0,147.0,41.0,75.0,38.0,2.0,2.3034533683336287,0.16477272727272727
34,https://www.zomato.com/jakarta/soto-mie-pak-kadir-kelapa-gading/info,80000.0,17.0,-6.1465270919,106.9067660719,0,3.5,0,54,1,2,00000000000000000000000000000000000000000000000000000000000000000000010000000000000000,qquj09,0.0,29.0,28.0,42.0,16.0,0.0,2.0,22.0,4.0,10.0,8.0,36.0,34.0,35.0,16.0,0.0,2.363204307638651,0.05660377358490566
35,https://www.zomato.com/jakarta/pastel-ma-cik-kelapa-gading/info,60000.0,27.0,-6.157257,106.908425,0,3.7,0,39,0,19,00000000000000000000000000000000000000000000000000000000000000000000000000100000000000,qquhbz,0.0,91.0,80.0,33.0,13.0,5.0,9.0,18.0,7.0,2.0,16.0,37.0,35.0,46.0,25.0,0.0,2.2833788616472956,0.012195121951219513
36,https://www.zomato.com/jakarta/docliz-coffee-kitchen-kelapa-gading/info,120000.0,50.0,-6.155096,106.892557,0,3.7,0,358,0,89,00010000000000000010100000000000000001000000000000000000000000000000000000000000000000,qquhbr,0.0,83.0,75.0,61.0,55.0,5.0,19.0,41.0,7.0,23.0,2.0,50.0,59.0,41.0,28.0,0.0,2.3976283729878314,0.07142857142857142
37,https://www.zomato.com/jakarta/sister-grounds-coffee-eatery-kelapa-gading/info,150000.0,52.0,-6.1752249758,106.9129673392,0,3.9,0,21,0,11,00000000000000000000100000000000000010000000000000000000000000000000000000000000000000,qquhbg,0.0,56.0,64.0,80.0,99.0,6.0,6.0,48.0,84.0,46.0,12.0,51.0,54.0,200.0,14.0,0.0,2.3250976488507833,0.42857142857142855
38,https://www.zomato.com/jakarta/manta-e-sport-cafe-kelapa-gading/info,120000.0,111.0,-6.1742076495,106.913966462,0,4.0,0,438,0,21,00000000000000000010000000000000000000000000000000000000000000000000100000000000000000,qquhbu,0.0,24.0,20.0,75.0,46.0,8.0,38.0,28.0,50.0,30.0,14.0,34.0,56.0,59.0,12.0,0.0,2.488818920663639,0.3
39,https://www.zomato.com/jakarta/a-fung-baso-sapi-asli-kelapa-gading/info,130000.0,33.0,-6.1564181235,106.9091012701,1,3.8,0,25,0,22,00000001000000000000000000000000000000000000000000000000000000000000000000000000000000,qquhbz,0.0,91.0,85.0,43.0,17.0,5.0,10.0,19.0,9.0,4.0,17.0,49.0,42.0,47.0,25.0,0.0,2.319968605313829,0.010752688172043012
40,https://www.zomato.com/jakarta/soto-kudus-blok-m-kelapa-gading/info,80000.0,35.0,-6.167594,106.900631,1,2.7,0,52,0,436,00000000000000000000000000000000000000010000000000000000000000000000010000000000000000,qquhbt,0.0,48.0,73.0,33.0,29.0,0.0,30.0,45.0,35.0,8.0,13.0,71.0,29.0,59.0,14.0,0.0,2.4148890345977803,0.05952380952380952
41,https://www.zomato.com/jakarta/deja-coffee-pastry-kelapa-gading/info,150000.0,6.0,-6.1633566029,106.9032751769,0,3.4,0,99,1,2,00000000000000000010100000000000000000000000000000000000000000000000000000000000000010,qquhbt,0.0,90.0,102.0,38.0,22.0,2.0,10.0,45.0,12.0,8.0,14.0,76.0,45.0,57.0,26.0,0.0,2.323325483297682,0.15306122448979592
42,https://www.zomato.com/jakarta/sate-padang-ajo-ramon-kelapa-gading/info,80000.0,30.0,-6.1460807377,106.8915458769,1,3.5,0,134,0,383,00000000000000000000000000000000000000000000000000000000010000000100000000000000000000,qquj03,0.0,53.0,43.0,38.0,21.0,13.0,16.0,28.0,7.0,8.0,2.0,45.0,26.0,39.0,12.0,0.0,2.4258029958154292,0.0125
43,https://www.zomato.com/jakarta/clairmont-1-kelapa-gading/info,100000.0,18.0,-6.168645,106.899896,0,3.9,0,12,0,5,00000100000000000000000000000000000000000000000000000000000000000000000000000000000000,qquhbt,0.0,37.0,66.0,33.0,31.0,0.0,30.0,41.0,35.0,6.0,7.0,71.0,26.0,56.0,12.0,0.0,2.391599555596345,0.04819277108433735
44,https://www.zomato.com/jakarta/seven-beans-coffee-kelapa-gading/info,100000.0,10.0,-6.1705923253,106.9092836604,0,3.4,0,31,0,411,00000000000000000010100000000000000000000000000000000000000000000000000000000000000000,qquhbu,0.0,53.0,72.0,83.0,77.0,12.0,46.0,72.0,65.0,29.0,14.0,94.0,76.0,93.0,32.0,2.0,2.5271102448205873,0.22916666666666666
45,https://www.zomato.com/jakarta/lapo-ni-tondongta-pramuka-kelapa-gading/info,100000.0,29.0,-6.146824,106.909847,0,3.6,0,159,0,352,00000000001000000000000000000000000000000000000000000000000000000000000000000000000000,qquj0c,0.0,16.0,23.0,36.0,8.0,4.0,3.0,13.0,2.0,5.0,8.0,30.0,40.0,26.0,17.0,0.0,2.356527626945106,0.0
46,https://www.zomato.com/jakarta/burgreens-eatery-kelapa-gading/info,250000.0,59.0,-6.151242,106.89323,0,4.0,0,166,0,1196,00000000000000000000000000000000010010000000000000000000000000000000000000000000000010,qquj02,0.0,82.0,63.0,41.0,21.0,38.0,11.0,29.0,6.0,8.0,2.0,71.0,34.0,53.0,26.0,0.0,2.3753417009807265,0.17567567567567569
47,https://www.zomato.com/jakarta/bakmi-bintang-gading-kelapa-gading/info,120000.0,326.0,-6.1512492891,106.9090590254,1,4.3,0,451,0,9,00000010000000000001000100000000000000000000000000000000000000000000000000000000000000,qquj0b,0.0,82.0,61.0,67.0,18.0,11.0,4.0,32.0,10.0,6.0,10.0,101.0,32.0,67.0,18.0,0.0,2.289948136781394,0.1388888888888889
48,https://www.zomato.com/jakarta/pizzeria-cavalese-kelapa-gading/info,200000.0,74.0,-6.150949,106.89295,0,4.0,0,47,0,1079,00000000000000000000000000000000000001000000000000000000000000100000000000000000000000,qquj02,0.0,82.0,63.0,42.0,21.0,38.0,11.0,30.0,6.0,8.0,2.0,71.0,34.0,53.0,29.0,0.0,2.3794613751386353,0.013513513513513514
49,https://www.zomato.com/jakarta/street-steak-kelapa-gading/info,220000.0,935.0,-6.165462,106.902579,0,4.5,0,24,0,1442,00000000000000000000000000000000000000000000000000000000000000000000000001000000000000,qquhbt,0.0,96.0,110.0,38.0,32.0,2.0,31.0,59.0,15.0,8.0,17.0,82.0,45.0,63.0,22.0,0.0,2.3654149284928807,0.017241379310344827
50,https://www.zomato.com/jakarta/d-crepes-1-kelapa-gading/info,50000.0,25.0,-6.1564754584,106.909481138,1,3.5,0,89,0,85,00000000000000000000001000000000000000000000000000000000000000000000100000000000000000,qquhbz,0.0,89.0,84.0,43.0,15.0,5.0,10.0,20.0,9.0,4.0,17.0,49.0,44.0,48.0,25.0,0.0,2.321722466626944,0.10869565217391304
51,https://www.zomato.com/jakarta/eggo-waffle-kelapa-gading/info,60000.0,98.0,-6.1565557939,106.9092025235,0,3.4,0,9,0,5,00000000000000000000001000000000000000000000000000000000000000000000000000000000000000,qquhbz,0.0,90.0,85.0,43.0,15.0,5.0,10.0,20.0,9.0,4.0,17.0,49.0,42.0,46.0,25.0,0.0,2.318826891633283,0.13978494623655913
52,https://www.zomato.com/jakarta/restoran-sederhana-kelapa-gading/info,160000.0,40.0,-6.159694,106.905635,1,3.9,0,61,0,9,00000000000000000000000000000000000010000000000000000000010000000000000000000000000000,qquhbw,0.0,120.0,127.0,75.0,36.0,7.0,10.0,47.0,13.0,17.0,12.0,136.0,41.0,73.0,38.0,2.0,2.3221341534318594,0.12432432432432433
53,https://www.zomato.com/jakarta/chicken-phong-kelapa-gading/info,280000.0,66.0,-6.1497558979,106.8910231814,0,3.7,0,10,0,88,00000000000000000000000000000000000000000001000000000000000000000000000000000000000000,qquj02,0.0,71.0,61.0,42.0,12.0,38.0,12.0,30.0,6.0,8.0,1.0,68.0,35.0,49.0,30.0,0.0,2.375777664503117,0.11764705882352941
54,https://www.zomato.com/jakarta/warung-tahu-kelapa-gading/info,200000.0,32.0,-6.152185,106.90588,0,3.2,0,15,4,0,00010000000000000000000000000000000000000000000000000000000000000000000000000000000000,qquj08,0.0,94.0,70.0,77.0,18.0,3.0,4.0,18.0,12.0,4.0,6.0,109.0,29.0,70.0,24.0,0.0,2.197481491916414,0.060240963855421686
55,https://www.zomato.com/jakarta/eaton-noodles-kelapa-gading/info,150000.0,36.0,-6.1616765759,106.9044704363,0,3.0,0,140,0,201,00000100000000000001000000000000000010000000000000000000000000000000000000000000000000,qquhbw,0.0,124.0,125.0,72.0,38.0,7.0,12.0,50.0,13.0,16.0,8.0,151.0,43.0,77.0,38.0,2.0,2.305939238182665,0.23626373626373626
56,https://www.zomato.com/jakarta/kepiting-cak-gundul-kelapa-gading/info,120000.0,98.0,-6.146251,106.909404,0,3.5,0,20,0,60,00000000000000000000000000000000000000000000000000000000000000000010000000000000000000,qquj0c,0.0,17.0,23.0,36.0,12.0,4.0,3.0,14.0,3.0,7.0,8.0,30.0,38.0,29.0,17.0,0.0,2.395471149245176,0.10869565217391304
57,https://www.zomato.com/jakarta/mr-musa-kelapa-gading/info,200000.0,49.0,-6.1496008917,106.8995579705,0,3.8,0,10,0,6,00000000000000000000000000000000000000000001000000000000000000000000000000000000000000,qquj08,0.0,77.0,47.0,65.0,25.0,15.0,15.0,33.0,11.0,3.0,4.0,92.0,34.0,67.0,22.0,0.0,2.3428434959158366,0.13380281690140844
58,https://www.zomato.com/jakarta/hunan-fish-noodle-kelapa-gading/info,100000.0,40.0,-6.1570464738,106.9088856876,0,3.4,2,2,4,0,00000000000000000001000000000000000000000000000000000000000000000000000000000000000000,qquhbz,0.0,90.0,80.0,36.0,14.0,5.0,9.0,18.0,7.0,2.0,17.0,42.0,39.0,43.0,25.0,0.0,2.2942917206760627,0.15294117647058825
59,https://www.zomato.com/jakarta/warung-nyonyah-kelapa-gading/info,100000.0,7.0,-6.152198,106.905832,0,3.3,0,21,4,0,00000000000000000000100000000000000010000000000000000000000000000000000000000000000000,qquj08,0.0,95.0,70.0,76.0,18.0,3.0,4.0,18.0,12.0,4.0,6.0,109.0,29.0,70.0,24.0,0.0,2.197088719522923,0.17964071856287425
60,https://www.zomato.com/jakarta/warunk-upnormal-1-kelapa-gading/info,100000.0,182.0,-6.1526433393,106.9094365463,1,3.3,0,33,0,182,00000000000000000000000000000000000010000000000000000000000000000000000000100000000000,qquhbz,0.0,63.0,54.0,44.0,15.0,7.0,8.0,21.0,7.0,4.0,8.0,42.0,47.0,37.0,22.0,0.0,2.3673841297093636,0.15853658536585366
