index,url,rest_price_idr,review,lat,long,is_chain,alcohol,delivery,entertainment,indoor seating,kid friendly,no alcohol available,others_facility,outdoor seating,parking service,praying room,private dining area available,self service,smoking area,special_meal,table booking,table booking not available,table reservation required,takeaway available,asian,bakery,beverages,cafe,coffee,desserts,drink,fast_food,india,indonesia_traditional,indonesian,melayu,mid_east,noodle,others_type,seafood,snacks,special_food,street_food,tea,western,encode,geohash,d_500_airport,d_500_atm,d_500_bank,d_500_cafe,d_500_convenience_store,d_500_gas_station,d_500_hospital,d_500_lodging,d_500_meal_takeaway,d_500_mosque,d_500_park,d_500_restaurant,d_500_school,d_500_store,d_500_supermarket,d_500_train_station,en_500,n_compt_500,avg_n_rest,rating
3582,https://www.zomato.com/jakarta/koiki-japanese-eatery-scbd/info,200000,82.0,-6.229418768,106.8025951088,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000100000000000000000000000000000000000000000000000,qqguw3,0.0,44.0,18.0,17.0,2.0,0.0,3.0,10.0,0.0,15.0,3.0,4.0,8.0,10.0,6.0,0.0,2.125375622992738,0.25,3.7777777777777777,4.0
1585,https://www.zomato.com/jakarta/mister-sunday-senopati/info,150000,674.0,-6.2411316744,106.810323894,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,00001000000000000010100000000000000000000000000000000000000000000000000000000000100000,qqguqx,0.0,24.0,20.0,12.0,51.0,0.0,10.0,2.0,12.0,11.0,4.0,15.0,22.0,5.0,4.0,0.0,2.263229596003452,0.1333333333333333,3.64375,4.1
2335,https://www.zomato.com/jakarta/marugame-udon-1-tanjung-duren/info,120000,170.0,-6.174726,106.789656,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000100000000000000000000000000000000000000000000000,qqguy5,0.0,12.0,13.0,9.0,3.0,0.0,0.0,3.0,2.0,10.0,1.0,3.0,6.0,1.0,3.0,0.0,2.200498799436608,0.12,3.8333333333333335,4.1
2799,https://www.zomato.com/jakarta/sushi-go-pantai-indah-kapuk/info,100000,2934.0,-6.109607,106.740559,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000100000000000000000000000000000000000000010000000,qqgvhz,0.0,12.0,14.0,15.0,0.0,6.0,4.0,5.0,0.0,0.0,2.0,16.0,17.0,9.0,2.0,0.0,2.2053354056991816,0.0,0.0,4.3
4906,https://www.zomato.com/jakarta/papa-ron-s-pizza-pondok-indah/info,200000,53.0,-6.273338,106.773568,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00000000000000000000000000000000000001000000000000000000000000100000000000000000000000,qqgum9,0.0,1.0,0.0,11.0,15.0,0.0,2.0,4.0,14.0,9.0,0.0,1.0,28.0,5.0,1.0,0.0,1.9614110177187127,0.0,0.0,4.0
6617,https://www.zomato.com/jakarta/seven-grain-mampang-prapatan/info,150000,103.0,-6.255591,106.82805,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000100000000000000000000000000000000000000000000000000000000000000000000000000000000,qqguqv,0.0,7.0,4.0,2.0,2.0,0.0,6.0,4.0,1.0,10.0,0.0,3.0,5.0,1.0,0.0,0.0,2.1932458491465483,0.0,0.0,4.1
2652,https://www.zomato.com/jakarta/bakso-aan-pantai-indah-kapuk/info,120000,207.0,-6.1242722656,106.7451113462,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,00000011000000000000000000000000000010000000000000000000000000000000000000000000000000,qqgvjj,0.0,0.0,4.0,10.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,13.0,2.0,40.0,2.0,0.0,1.4973819320638568,0.4,3.1375,4.2
1568,https://www.zomato.com/jakarta/kopi-nalar-senopati/info,170000,764.0,-6.2423175153,106.8078948185,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00000000000000000000100000000000000000000000000000000000000000000000000000000000000010,qqguqr,0.0,10.0,8.0,7.0,15.0,0.0,12.0,0.0,8.0,4.0,1.0,13.0,10.0,4.0,8.0,0.0,2.360630193452767,0.2352941176470588,3.71875,4.3
3190,https://www.zomato.com/jakarta/jeans-chili-chicken-gandaria/info,270000,463.0,-6.244012,106.783834,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000000001000000000000000000000000000000000000000000,qqgumz,0.0,14.0,3.0,5.0,2.0,11.0,6.0,4.0,3.0,12.0,3.0,1.0,2.0,5.0,2.0,0.0,2.3784178318550584,0.0,0.0,4.0
2426,https://www.zomato.com/jakarta/the-kitchen-by-pizza-hut-tanjung-duren/info,135000,197.0,-6.174724,106.789657,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00000000000000000000000000000000000001000000000000000000000000100000000000000000000000,qqguy5,0.0,12.0,13.0,9.0,3.0,0.0,0.0,3.0,2.0,10.0,1.0,3.0,6.0,1.0,3.0,0.0,2.200498799436608,0.0,0.0,4.0
