,index,url,rest_price_idr,review,lat,long,is_chain,rating,alcohol,delivery,entertainment,indoor seating,kid friendly,no alcohol available,others_facility,outdoor seating,parking service,praying room,private dining area available,self service,smoking area,special_meal,table booking,table booking not available,table reservation required,takeaway available,asian,bakery,beverages,cafe,coffee,desserts,drink,fast_food,india,indonesia_traditional,indonesian,melayu,mid_east,noodle,others_type,seafood,snacks,special_food,street_food,tea,western,encode,geohash,d_1000_airport,d_1000_atm,d_1000_bank,d_1000_cafe,d_1000_convenience_store,d_1000_gas_station,d_1000_hospital,d_1000_lodging,d_1000_meal_takeaway,d_1000_mosque,d_1000_park,d_1000_restaurant,d_1000_school,d_1000_store,d_1000_supermarket,d_1000_train_station,en_1000,n_compt_1000,avg_n_rest
0,0,https://www.zomato.com/jakarta/wakacao-1-kelapa-gading/info,150000,56.0,-6.167531,106.901752,1,3.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000010000000000000000000000000000000000000000000000000,qquhbt,0.0,60.0,87.0,38.0,33.0,2.0,29.0,59.0,39.0,8.0,17.0,75.0,35.0,56.0,18.0,0.0,2.434447203157886,0.1739130434782608,3.64375
1,1,https://www.zomato.com/jakarta/the-coffee-bean-tea-leaf-kelapa-gading/info,110000,61.0,-6.157341,106.907888,1,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,01000000000000000000101000000000000001000000000000000000000000000000000000000000100000,qquhbx,0.0,144.0,106.0,71.0,9.0,2.0,9.0,31.0,16.0,6.0,16.0,110.0,41.0,77.0,33.0,0.0,2.218667306290341,0.1299435028248587,3.713043478260869
2,2,https://www.zomato.com/jakarta/angke-kelapa-gading-kelapa-gading/info,450000,363.0,-6.152638,106.892576,0,4.5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000001000000000000000000000000000000000000000000000000000000000000000000,qquhbr,0.0,81.0,73.0,54.0,47.0,7.0,16.0,34.0,7.0,17.0,2.0,48.0,42.0,40.0,22.0,0.0,2.3884355506012023,0.1529411764705882,3.6769230769230767
3,3,https://www.zomato.com/jakarta/ikan-nila-pak-ugi-kelapa-gading/info,100000,113.0,-6.163588,106.903689,0,3.9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000000000000000000000000000000010000000000000000000,qquhbt,0.0,92.0,104.0,36.0,23.0,2.0,12.0,53.0,9.0,8.0,16.0,76.0,49.0,58.0,26.0,0.0,2.3233556644739863,0.0495049504950495,3.7
4,4,https://www.zomato.com/jakarta/hong-kong-sheng-kee-dessert-1-kelapa-gading/info,220000,257.0,-6.157255,106.90843,1,4.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000001001100000000000000000000000000000000000000000000000000000000000000,qquhbz,0.0,91.0,80.0,33.0,13.0,5.0,9.0,18.0,7.0,2.0,16.0,37.0,35.0,46.0,25.0,0.0,2.283378861647296,0.216867469879518,3.755555555555555
5,5,https://www.zomato.com/jakarta/pappa-jack-kopitiam-kelapa-gading/info,330000,114.0,-6.1713986588,106.8987610191,0,3.1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000100000000000000000000000000000000000000010000000000000000000000000,qquhbs,0.0,53.0,68.0,110.0,72.0,10.0,12.0,61.0,114.0,40.0,6.0,75.0,21.0,97.0,32.0,2.0,2.422661223764161,0.125,3.8857142857142857
6,6,https://www.zomato.com/jakarta/bakpao-lompobattang-kelapa-gading/info,36000,35.0,-6.1488131926,106.9105067477,0,3.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000001000000000000000000000000000000000000000000000000000000000000000000,qquj0b,0.0,74.0,50.0,68.0,14.0,8.0,2.0,34.0,10.0,7.0,9.0,95.0,28.0,65.0,15.0,0.0,2.267334046298863,0.0962962962962963,3.5461538461538464
7,7,https://www.zomato.com/jakarta/soto-ayam-ambengan-kelapa-gading/info,100000,28.0,-6.1683799854,106.900463216,0,3.1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000010010000000000000000000000000000010000000000000000,qquhbt,0.0,38.0,66.0,33.0,28.0,0.0,30.0,42.0,35.0,8.0,9.0,73.0,26.0,57.0,14.0,0.0,2.406582850518975,0.1785714285714285,3.64
8,8,https://www.zomato.com/jakarta/negiya-express-kelapa-gading/info,180000,1047.0,-6.1568761359,106.910065189,1,4.3,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000100000000000000000000000000000000000000000000000,qquhbz,0.0,84.0,79.0,39.0,15.0,5.0,9.0,19.0,9.0,4.0,17.0,45.0,41.0,49.0,25.0,0.0,2.3302897666422857,0.1149425287356321,3.99
9,9,https://www.zomato.com/jakarta/sushi-go-kelapa-gading/info,100000,2888.0,-6.1574894853,106.9079556316,1,4.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000100000000000000000000000000000000000000010000000,qquhbx,0.0,142.0,105.0,73.0,9.0,2.0,9.0,30.0,16.0,6.0,16.0,109.0,40.0,77.0,33.0,0.0,2.2197130794711093,0.1379310344827586,3.945833333333333
