url,title,rest_type,rest_price,rest_facility,rest_longlat,rating,review
https://www.zomato.com/jakarta/koma-kedai-kopi-lima-beji-depok/info,KOMA Kedai Kopi Lima,Coffee|Beverages,Rp50.000 for two people (approx.),Takeaway Available|Indoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.3672140000,106.8337490000']",-,0
https://www.zomato.com/jakarta/phd-beji/info,PHD,Pizza,Rp150.000 for two people (approx.),Home Delivery|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3639340000,106.8339950000']",3.8,55
https://www.zomato.com/jakarta/kedai-br-beji-depok/info,Kedai BR,Indonesian,Rp80.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3796560000,106.8381300000']",2.6,4
https://www.zomato.com/jakarta/super-ayam-pancoran-mas-depok/info,Super Ayam,Indonesian,Rp50.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3914450000,106.8203020000']",-,0
https://www.zomato.com/jakarta/ayam-bakar-christina-beji-depok/info,Ayam Bakar Christina,Indonesian,Rp90.000 for two people (approx.),Home Delivery|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3674700000,106.8343640000']",3.7,44
https://www.zomato.com/jakarta/zoe-beji-depok/info,Zoe,Cafe|Asian|Italian,Rp135.000 for two people (approx.),Takeaway Available|Indoor Seating|Shisha|Outdoor Seating|Wifi|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3657440000,106.8341910000']",2.7,81
https://www.zomato.com/jakarta/kongkow-foodcourt-beji-depok/info,Kongkow Foodcourt,Indonesian|Western,Rp120.000 for two people (approx.),Takeaway Available|Praying Room|Indoor Seating|Smoking Area|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3678410000,106.8188340000']",3.6,22
https://www.zomato.com/jakarta/bakso-bakar-putra-arema-cilodong-depok/info,Bakso Bakar Putra Arema,Bakso,Rp50.000 for two people (approx.),Takeaway Available|Indoor Seating|Smoking Area|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.4070090000,106.8521900000']",3.1,34
https://www.zomato.com/jakarta/i-love-crepes-cimanggis/info,I Love Crepes,Desserts,Rp50.000 for two people (approx.),Takeaway Available|Indoor Seating|Desserts and Bakes|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3572470000,106.8601850000']",-,2
https://www.zomato.com/jakarta/mie-ayam-bakso-fajar-beji/info,Mie Ayam Bakso Fajar,Bakso|Bakmi|Jawa,Rp60.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3618690000,106.8333600000']",3.5,36
https://www.zomato.com/jakarta/lucky-bee-bread-grill-pancoran-mas-depok/info,Lucky Bee Bread & Grill,Burger|Snacks,"Rp60.000 for two people (approx.)|Diantara sekian banyak tenant di sebuah foodcourt pinggir jalan bernama Makan Holic di daerah Depok Lama, Lucky Bee lah yang paling menarik buat dicoba. Kalo dari segi tempat karena konsepnya foodcourt, jadi seating areanya barengan dengan pengunjung yang makan di gerai lain. Meja kursi disini dibuat dari kayu sederhana dan ada beberapa yang dilapisi jok. Bangunannya besar, langit-langitnya tinggi, jadi terasa lapang saat berada disini. Lahan parkirnya pun luas, bisa untuk kendaraan roda dua maupun roda empat.Kalo ini saya memesan Beef Burger (Rp.18.000,-) secara porsi lumayan besar. Rotinya empuk dengan lumuran saus serta mayo yang lumayan banyak. Tak lupa irisan sayur seperti tomat...read more",Home Delivery|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.4046590000,106.8191350000']",3.5,4
https://www.zomato.com/jakarta/bakmi-gemilang-beji-depok/info,Bakmi Gemilang,Bakmi|Chinese,Rp90.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3653760000,106.8141040000']",-,2
https://www.zomato.com/jakarta/jiwa-toast-sukmajaya-depok/info,Jiwa Toast,Bakery|Beverages,"Rp80.000 for two people (approx.)|Kalau sebelumnya Kopi Janji Jiwa yang berada di mall Pesona Square hanya berdiri sendiri, kini ia hadir ditemani oleh Jiwa Toast yang merupakan jenis usaha lain dari Jiwa Group dengan aneka taost bread dengan sausnya yang khas. Desainnya masih sama, hanya berupa stall bergaya modern minimalis yang mengisi salah satu koridor mall dengan mengusung konsep grab and go, jadi ga menyediakan satupun kursi untuk makan di tempat ataupun sekedar menunggu pesanan jadi.Kali ini saya cobain dua dari tiga jenis varian menu baru mereka yang berjudul Curry Series. Pertama yang saya coba adalah Hamburg Curry Mayo (Rp.32.000,-) toast bread dengan isian berupa daging sapi yang dipanggang lalu disiram saus...read more",Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3802150000,106.8444360000']",-,3
https://www.zomato.com/jakarta/roti-ropi-beji-depok/info,Roti Ropi,Bakery,Rp20.000 for two people (approx.),Breakfast|Takeaway Available|Indoor Seating|Desserts and Bakes,"['https://www.google.com/maps/dir/?api=1&destination=-6.3826300000,106.8146540000']",-,1
https://www.zomato.com/jakarta/baso-sederhana-sukmajaya/info,Baso Sederhana,Bakso,Rp40.000 for two people (approx.),Breakfast|Takeaway Available|Indoor Seating|Smoking Area|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.4092970000,106.8406310000']",3.1,10
https://www.zomato.com/jakarta/sate-taichan-khas-uda-beji-depok/info,Sate Taichan Khas Uda,Satay,Rp80.000 for two people (approx.),Takeaway Available|Outdoor Seating|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3865500000,106.8277420000']",4.0,76
https://www.zomato.com/jakarta/suko-mananti-beji/info,Suko Mananti,Soto|Satay|Padang,Rp90.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3887660000,106.8141540000']",3.6,10
https://www.zomato.com/jakarta/saz-burritos-limo-depok/info,SAZ Burritos,Fast Food|Mexican,Rp30.000 for two people (approx.),Takeaway Available|Indoor Seating|Wifi|Smoking Area|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3700080000,106.7997280000']",-,0
https://www.zomato.com/jakarta/kedai-abang-dan-es-none-jagakarsa/info,Kedai Abang dan Es None,Jawa|Indonesian,Rp60.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3306180000,106.8291520000']",3.6,11
https://www.zomato.com/jakarta/mie-ayam-bang-dony-beji/info,Mie Ayam Bang Dony,Jawa,Rp55.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3842690000,106.8146610000']",3.2,5
https://www.zomato.com/jakarta/kopi-laka-laka-6-beji-depok/info,Kopi Laka Laka,Beverages|Coffee,Rp50.000 for two people (approx.),Takeaway Available|Indoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.3678890000,106.8339060000']",3.4,9
https://www.zomato.com/jakarta/restoran-sederhana-beji-depok/info,Restoran Sederhana,Padang|Indonesian,Rp160.000 for two people (approx.),Breakfast|Home Delivery|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3662620000,106.8342960000']",3.8,37
https://www.zomato.com/jakarta/xie-xie-boba-sukmajaya-depok/info,Xie Xie Boba,Bubble Tea,Rp50.000 for two people (approx.),Takeaway Available|Indoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.3903540000,106.8520460000']",-,2
https://www.zomato.com/jakarta/pelipur-lara-coffee-beji-depok/info,Pelipur Lara Coffee,Coffee,Rp50.000 for two people (approx.),Takeaway Available|Indoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.3724220000,106.8323800000']",-,0
https://www.zomato.com/jakarta/dum-dum-thai-drinks-1-beji-depok/info,Dum Dum Thai Drinks,Thai|Beverages,Rp55.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3725940000,106.8351170000']",2.9,36
https://www.zomato.com/jakarta/eatlah-beji-depok/info,Eatlah,Asian,Rp120.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3805620000,106.8307920000']",3.7,94
https://www.zomato.com/jakarta/super-yamin-pancoran-mas/info,Super Yamin,Bakmi,Rp50.000 for two people (approx.),Takeaway Available|Indoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.3922262750,106.8232162669']",-,3
https://www.zomato.com/jakarta/ayam-bakar-ortega-beji/info,Ayam Bakar Ortega,Jawa,Rp40.000 for two people (approx.),Takeaway Available|Smoking Area|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3680390000,106.8187740000']",3.2,33
https://www.zomato.com/jakarta/tiny-house-coffee-cimanggis-depok/info,Tiny House Coffee,Beverages|Snacks,"Rp70.000 for two people (approx.)|Tiny House Coffee, sebuah kedai kopi mungil sesuai dengan namanya, tiny. Mereka berlokasi di Jalan Sakub, yaitu sebuah jalan yang menghubungkan antara Jalan Juanda dengan Jalan RTM. Setelah melewati jembatan tol Cijago, posisinya ada disebelah kiri bergabung dengan kios-kios kecil lain. Area didalam hanya muat untuk barista area merangkap kasir dan satu set tempat duduk. Diluar jumlah tempat duduk ada sekitar 7 set dan semuanya serba minimalis. Bagian depan kedai ini dihias beragam gambar mural yang disinari oleh lampu-lampu bohlam kekuningan.Tiny Ice Coffee (Rp.15.000,-) rasanya milky, diikuti manis yang seimbang dengan unsur kopinya. Meski tidak termasuk kedalam jenis es kopi susu...read more",Takeaway Available|Outdoor Seating|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3779900000,106.8475350000']",-,2
https://www.zomato.com/jakarta/an-nyeong-korean-food-cafe-beji-depok/info,An.Nyeong Korean Food Cafe,Korean,Rp150.000 for two people (approx.),Takeaway Available|Indoor Seating|Wifi|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3594280000,106.8327500000']",4.2,393
https://www.zomato.com/jakarta/codajie-1-beji-depok/info,Codajie,Indonesian|Coffee|Tea,Rp100.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3581200000,106.8327960000']",3.3,5
https://www.zomato.com/jakarta/boloo-boloo-1-beji/info,Boloo Boloo,Fast Food|Japanese,Rp120.000 for two people (approx.),Home Delivery|Takeaway Available|Indoor Seating|Smoking Area|Outdoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3761450000,106.8137160000']",3.0,7
https://www.zomato.com/jakarta/goola-x-gaaram-cimanggis-depok/info,Goola x Gaaram,Indonesian,Rp120.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3550200000,106.8406980000']",-,3
https://www.zomato.com/jakarta/d-cost-beji/info,D' Cost,Seafood|Indonesian,Rp120.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3870090000,106.8271630000']",3.6,57
https://www.zomato.com/jakarta/koba-coffee-and-eat-beji-depok/info,Koba Coffee and Eat,Cafe|Coffee|Indonesian|Western,Rp100.000 for two people (approx.),Breakfast|Takeaway Available|Indoor Seating|Smoking Area|Rooftop|Wifi|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3735340000,106.8134130000']",3.0,14
https://www.zomato.com/jakarta/tiktok-van-depok-beji-depok/info,TikTok Van Depok,Jawa,Rp65.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3642070000,106.8156250000']",3.3,9
https://www.zomato.com/jakarta/soto-sedaap-boyolali-ibu-widodo-beji-depok/info,Soto Sedaap Boyolali Ibu Widodo,Jawa,Rp60.000 for two people (approx.),Breakfast|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3694780000,106.8340070000']",-,1
https://www.zomato.com/jakarta/martabak-bangka-ko-hery-beji-depok/info,Martabak Bangka Ko Hery,Street Food|Martabak,Rp80.000 for two people (approx.),Takeaway Available|Indoor Seating|Desserts and Bakes|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3890250000,106.8154060000']",3.9,11
https://www.zomato.com/jakarta/almondtree-by-the-harvest-beji-depok/info,Almondtree by The Harvest,Desserts|Coffee,Rp200.000 for two people (approx.),Home Delivery|Takeaway Available|Indoor Seating|Wifi|Desserts and Bakes|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.3658880000,106.8342650000']",4.0,80
