index,url,title,rest_type,rest_price,rest_facility,rest_longlat,rating,review
1277,https://www.zomato.com/jakarta/cricks-cafe-thamrin/info,Crick's Cafe,Desserts,Rp100.000 for two people (approx.),Takeaway Available|Indoor Seating|Desserts and Bakes,"['https://www.google.com/maps/dir/?api=1&destination=-6.1932560000,106.8218180000']",3,13
1278,https://www.zomato.com/jakarta/al-jazeerah-cikini/info,Al-Jazeerah,Arabian,Rp350.000 for two people (approx.),Home Delivery|Takeaway Available|Wifi|Indoor Seating|Table booking recommended|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1929770000,106.8401810000']",4.3,466
1279,https://www.zomato.com/jakarta/sate-jaya-agung-thamrin/info,Sate Jaya Agung,Satay,Rp100.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1869000000,106.8248640000']",2.7,44
1280,https://www.zomato.com/jakarta/union-deli-thamrin/info,Union Deli,Western,Rp550.000 for two people (approx.) Without alcohol,Takeaway Available|Full Bar Available|Table booking recommended|Wifi|Indoor Seating|Smoking Area|Brunch|Desserts and Bakes,"['https://www.google.com/maps/dir/?api=1&destination=-6.1951670000,106.8204400000']",4.6,"1,510"
1281,https://www.zomato.com/jakarta/rice-walk-thamrin/info,Rice Walk,Fusion|Chinese|Indonesian,Rp240.000 for two people (approx.),Home Delivery|Takeaway Available|Self Service|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1950330000,106.8200030000']",2.9,72
1282,https://www.zomato.com/jakarta/skyloft-all-seasons-hotel-thamrin/info,SKYLOFT - All Seasons Hotel,Indonesian|Western,Rp500.000 for two people (approx.) Without alcohol,Breakfast|Wine and Beer|City View|Indoor Seating|Wifi|Outdoor Seating|Table booking recommended,"['https://www.google.com/maps/dir/?api=1&destination=-6.2014070000,106.8221510000']",3.9,456
1283,https://www.zomato.com/jakarta/papay-thamrin/info,Papay,Beverages,Rp55.000 for two people (approx.),Takeaway Available|Outdoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.1848020000,106.8238150000']",-,2
1284,https://www.zomato.com/jakarta/kopi-kenangan-2-thamrin/info,Kopi Kenangan,Coffee|Tea|Beverages,Rp50.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1865830000,106.8239810000']",3.8,40
1285,https://www.zomato.com/jakarta/tugu-kunstkring-paleis-menteng/info,Tugu Kunstkring Paleis,Betawi|Jawa|Western|Indonesian,Rp500.000 for two people (approx.) Without alcohol,Takeaway Available|Full Bar Available|Wifi|Indoor Seating|Table booking recommended,"['https://www.google.com/maps/dir/?api=1&destination=-6.1888410000,106.8333310000']",4.7,651
1286,https://www.zomato.com/jakarta/the-peoples-cafe-thamrin/info,The People's Cafe,Fusion|Italian|Indonesian|Coffee,Rp200.000 for two people (approx.) Without alcohol,Home Delivery|Takeaway Available|Beer|Indoor Seating|Wifi|Table booking recommended,"['https://www.google.com/maps/dir/?api=1&destination=-6.1951650000,106.8204400000']",4,659
1287,https://www.zomato.com/jakarta/yong-tau-fu-thamrin/info,Yong Tau Fu,Chinese|Singaporean,Rp100.000 for two people (approx.),Home Delivery|Takeaway Available|Self Service|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1951680000,106.8202300000']",3.1,37
1288,https://www.zomato.com/jakarta/kidota-coffee-thamrin/info,Kidota Coffee,Coffee,Rp50.000 for two people (approx.),Takeaway Available|Indoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.1878610000,106.8236910000']",-,1
1289,https://www.zomato.com/jakarta/di-bawah-tangga-1-thamrin/info,Di Bawah Tangga,Coffee|Beverages,Rp60.000 for two people (approx.),Takeaway Available|Indoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.1932400000,106.8218200000']",-,3
1290,https://www.zomato.com/jakarta/bubur-ayam-parkiran-thamrin/info,Bubur Ayam Parkiran,Indonesian|Street Food,Rp50.000 for two people (approx.),Takeaway Available|Outdoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1895170000,106.8243590000']",3.8,34
1291,https://www.zomato.com/jakarta/kopi-luwak-2-thamrin/info,Kopi Luwak,Indonesian|Tea|Coffee,Rp200.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1927590000,106.8214950000']",3.4,4
1292,https://www.zomato.com/jakarta/ayam-gepuk-sambal-bawang-pak-gembus-thamrin/info,Ayam Gepuk Sambal Bawang Pak Gembus,Indonesian,Rp50.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1846050000,106.8237990000']",3.1,6
1293,https://www.zomato.com/jakarta/saychiizu-hokkaido-cheese-toast-thamrin/info,Saychiizu - Hokkaido Cheese Toast,Desserts|Japanese,Rp80.000 for two people (approx.),Takeaway Available|Indoor Seating|Desserts and Bakes|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1932530000,106.8218210000']",3.3,11
1294,https://www.zomato.com/jakarta/bebek-bengil-thamrin/info,Bebek Bengil,Balinese,Rp350.000 for two people (approx.) Without alcohol,Takeaway Available|Beer|Indoor Seating|Private Dining Area Available|Table booking not available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1920970000,106.8217640000']",3.8,44
1295,https://www.zomato.com/jakarta/fountain-lounge-grand-hyatt-thamrin/info,Fountain Lounge - Grand Hyatt,Finger Food|Western|Asian,Rp500.000 for two people (approx.) with alcohol,Breakfast|Full Bar Available|Wifi|Indoor Seating|Table booking recommended|Live Music,"['https://www.google.com/maps/dir/?api=1&destination=-6.1939270000,106.8221900000']",4.3,154
1296,https://www.zomato.com/jakarta/grand-cafe-grand-hyatt-1-thamrin/info,Grand Cafe - Grand Hyatt,Indonesian,Rp800.000 for two people (approx.) Without alcohol,Breakfast|Home Delivery|Takeaway Available|Beer|Indoor Seating|Buffet|Serves Cocktails|Wifi|Table booking recommended,"['https://www.google.com/maps/dir/?api=1&destination=-6.1937220000,106.8222330000']",4.2,161
1297,https://www.zomato.com/jakarta/sari-ratu-1-thamrin/info,Sari Ratu,Padang|Sumatera,Rp120.000 for two people (approx.),Home Delivery|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1932370000,106.8218220000']",2.7,76
1298,https://www.zomato.com/jakarta/nitro-coffee-thamrin/info,Nitro Coffee,Coffee,Rp100.000 for two people (approx.),Breakfast|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1983470000,106.8242780000']",3.6,18
1299,https://www.zomato.com/jakarta/rm-ampera-2-tak-cikini/info,RM Ampera 2 Tak,Sunda,Rp70.000 for two people (approx.),Breakfast|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1952950000,106.8400340000']",3.7,174
