,index,url,rest_price_idr,review,lat,long,is_chain,alcohol,delivery,entertainment,indoor seating,kid friendly,no alcohol available,others_facility,outdoor seating,parking service,praying room,private dining area available,self service,smoking area,special_meal,table booking,table booking not available,table reservation required,takeaway available,asian,bakery,beverages,cafe,coffee,desserts,drink,fast_food,india,indonesia_traditional,indonesian,melayu,mid_east,noodle,others_type,seafood,snacks,special_food,street_food,tea,western,encode,geohash,d_1000_airport,d_1000_atm,d_1000_bank,d_1000_cafe,d_1000_convenience_store,d_1000_gas_station,d_1000_hospital,d_1000_lodging,d_1000_meal_takeaway,d_1000_mosque,d_1000_park,d_1000_restaurant,d_1000_school,d_1000_store,d_1000_supermarket,d_1000_train_station,en_1000,n_compt_1000,avg_n_rest,rating
1807,735,https://www.zomato.com/jakarta/mcdonald-s-tebet/info,100000,116.0,-6.232091,106.845609,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000100000000000000000000000000000000000000000000000000000000000,qqgux3,3.0,60.0,57.0,34.0,55.0,26.0,22.0,25.0,12.0,69.0,21.0,52.0,38.0,44.0,22.0,0.0,2.5563788051439427,0.008695652173913,3.0,4.0
184,5073,https://www.zomato.com/jakarta/uncle-tetsu-pondok-indah/info,100000,141.0,-6.266347,106.784811,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000100000000000000001000000000000000000000000000000000000000000000000000000000000000,qqgumg,0.0,28.0,21.0,12.0,14.0,11.0,5.0,17.0,7.0,24.0,2.0,21.0,19.0,11.0,15.0,0.0,2.5078448104267084,0.0571428571428571,4.050000000000001,4.0
2857,708,https://www.zomato.com/jakarta/kopikina-1-tebet/info,150000,419.0,-6.2396182068,106.8562312424,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000010100000000000000000000000000000000000000000000000000000000000000000,qqgux8,0.0,118.0,95.0,39.0,55.0,14.0,22.0,31.0,12.0,77.0,20.0,62.0,38.0,78.0,14.0,2.0,2.430938342551023,0.2923076923076923,3.452631578947368,4.4
2630,2897,https://www.zomato.com/jakarta/shu-guo-yin-xiang-pantai-indah-kapuk/info,350000,249.0,-6.110834,106.738747,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000001000000000000000000000000000000000000000000000000000000000000000000,qqgvhz,0.0,44.0,57.0,47.0,3.0,6.0,4.0,12.0,0.0,8.0,8.0,87.0,29.0,74.0,6.0,0.0,2.119389624847357,0.253012048192771,3.5333333333333337,4.2
3165,4676,https://www.zomato.com/jakarta/beard-papa-s-pondok-indah/info,50000,96.0,-6.265883,106.784509,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000100000000000000001000000000000000000000000000000000000000000000000000000000000000,qqgumg,0.0,32.0,26.0,12.0,19.0,11.0,5.0,20.0,7.0,27.0,2.0,24.0,16.0,16.0,17.0,0.0,2.4943297436081124,0.054054054054054,4.050000000000001,4.1
2506,237,https://www.zomato.com/jakarta/yuzuki-tea-kelapa-gading/info,100000,85.0,-6.156608,106.910082,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,00000000000000100000000000000000000000000000000000000000000000000000000000000000100000,qquhbz,0.0,84.0,82.0,42.0,15.0,5.0,10.0,20.0,9.0,4.0,17.0,48.0,43.0,49.0,29.0,0.0,2.3358102946337578,0.0555555555555555,3.92,4.0
4406,3561,https://www.zomato.com/jakarta/iseya-robatayaki-sudirman/info,800000,95.0,-6.216732,106.818229,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000100000000000000000000000000000000000000000000000,qqguws,0.0,74.0,44.0,66.0,58.0,13.0,90.0,45.0,10.0,72.0,14.0,47.0,39.0,32.0,59.0,0.0,2.500000018746188,0.1647727272727272,3.779310344827587,4.0
3962,5473,https://www.zomato.com/jakarta/dailybox-pluit/info,120000,127.0,-6.121072,106.788105,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00010000000000000000000000000000000000000000000000000000000000000000000000000000000000,qqgvnj,0.0,63.0,86.0,68.0,14.0,18.0,9.0,31.0,6.0,7.0,6.0,95.0,56.0,119.0,20.0,0.0,2.266482353962423,0.04,3.5500000000000003,4.1
181,4491,https://www.zomato.com/jakarta/the-duck-king-senayan/info,300000,160.0,-6.227518,106.797423,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000001000000000000000000000000000000000000000000000000000000000000000000,qqguw4,0.0,149.0,56.0,77.0,10.0,6.0,24.0,43.0,7.0,42.0,18.0,71.0,50.0,75.0,50.0,0.0,2.363459406849468,0.094240837696335,3.6222222222222222,4.2
1371,856,https://www.zomato.com/jakarta/the-duck-king-tebet/info,300000,183.0,-6.224077,106.84238,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000001000000000000000000000000000000000000000000000000000000000000000000,qqgux6,0.0,65.0,26.0,44.0,34.0,11.0,13.0,36.0,17.0,44.0,16.0,44.0,25.0,25.0,29.0,0.0,2.5292791562335024,0.0703125,3.366666666666666,4.1
