url,title,rest_type,rest_price,rest_facility,rest_longlat,rating,review
https://www.zomato.com/jakarta/mie-jowo-ireng-manis-gandaria/info,Mie Jowo Ireng Manis,Jawa,Rp70.000 for two people (approx.),Takeaway Available|Indoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.2442710000,106.7833680000']",-,0
https://www.zomato.com/jakarta/chopstix-gandaria/info,Chopstix,Peranakan|Chinese,Rp120.000 for two people (approx.),Takeaway Available|Indoor Seating|Table booking recommended|Wifi|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2435420000,106.7831570000']",2.9,90
https://www.zomato.com/jakarta/the-coffee-bean-tea-leaf-gandaria/info,The Coffee Bean & Tea Leaf,Coffee|Tea|Desserts|American|Italian,Rp110.000 for two people (approx.),Takeaway Available|Indoor Seating|Wifi|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2433070000,106.7837010000']",2.8,26
https://www.zomato.com/jakarta/gaya-gelato-gandaria/info,Gaya Gelato,Ice Cream|Desserts,Rp80.000 for two people (approx.),Takeaway Available|Indoor Seating|Desserts and Bakes,"['https://www.google.com/maps/dir/?api=1&destination=-6.2445570000,106.7833980000']",4.1,98
https://www.zomato.com/jakarta/mamayu-kitchen-gandaria/info,Mamayu Kitchen,Asian,Rp100.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2428760000,106.7915880000']",3.5,27
https://www.zomato.com/jakarta/kashiwa-melawai/info,Kashiwa,Japanese,Rp250.000 for two people (approx.) Without alcohol,Takeaway Available|Beer|Indoor Seating|Table booking recommended,"['https://www.google.com/maps/dir/?api=1&destination=-6.2449631508,106.7993469536']",4.3,"1,107"
https://www.zomato.com/jakarta/dapur-cokelat-gandaria/info,Dapur Cokelat,Bakery|Desserts,Rp120.000 for two people (approx.),Home Delivery|Takeaway Available|Indoor Seating|Desserts and Bakes|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2436570000,106.7915920000']",3.5,35
https://www.zomato.com/jakarta/old-chang-kee-gandaria/info,Old Chang Kee,Singaporean,Rp80.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2444650000,106.7834140000']",3.8,69
https://www.zomato.com/jakarta/hoghock-kebayoran-lama/info,HogHock,Asian,"Rp150.000 for two people (approx.)|Hoghock merupakan makanan yang disajikan dalam bentuk rice bowl dengan lauk daging B2. Makanan ini merupakan perpaduan antara Chinese dengan Indonesia. Selama masa PSBB total, restoran ini hanya menerima take away. Dari foto yang aku sudah share, banyak meja yang digeser rapat dengan kursi nya.Ekspetasi aku menu makanan disini enak. Hari ini aku pesan 2 menu Pork Knuckle tetapi beda rasa yang combo seharga Rp 55.000. Beda nya classic dengan combo adalah ada sate babi dan harga classic dengan combo memiliki selisih Rp 10.000. Setiap menu rice bowl, ada pilihan sambal matah atau sambal hijau kecuali menu korean spicy pork belly yang tidak ada sambal khas Indonesia. Menu yang aku pesan ada...read more",Takeaway Available|Smoking Area|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2197150000,106.7794380000']",4.0,53
https://www.zomato.com/jakarta/kyochon-gandaria/info,Kyochon,Korean,Rp200.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2446350000,106.7839960000']",4.1,278
https://www.zomato.com/jakarta/savannah-bistro-blok-m/info,Savannah Bistro,Coffee|Asian|Western,Rp300.000 for two people (approx.),Breakfast|Takeaway Available|Table booking recommended|Outdoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2417230000,106.7930470000']",3.9,28
https://www.zomato.com/jakarta/yol%C3%A9-gandaria/info,Yol̩,Desserts,Rp100.000 for two people (approx.),Home Delivery|Takeaway Available|Desserts and Bakes|Self Service|Indoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.2440980000,106.7839150000']",3.2,12
https://www.zomato.com/jakarta/walking-drums-blok-m/info,Walking Drums,Indonesian,Rp150.000 for two people (approx.),Home Delivery|Takeaway Available|Valet Parking Available|Table booking recommended|Praying Room|Outdoor Seating|Smoking Area|Indoor Seating|Wifi|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2354480000,106.7959410000']",4.2,655
https://www.zomato.com/jakarta/626-by-polim-melawai/info,626 By Polim,Asian|Western,Rp120.000 for two people (approx.),Takeaway Available|Wifi|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2470935142,106.7985617369']",3.2,12
https://www.zomato.com/jakarta/sate-sambas-panglima-polim-melawai/info,Sate Sambas Panglima Polim,Satay|Jawa,Rp70.000 for two people (approx.),Takeaway Available|Outdoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2492022054,106.7968890443']",4.1,99
https://www.zomato.com/jakarta/zubu-2-blok-m/info,Zubu,Japanese|BBQ,Rp250.000 for two people (approx.),Takeaway Available|Indoor Seating|Table booking recommended|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2441280000,106.7975720000']",3.5,102
https://www.zomato.com/jakarta/masalalu-kebayoran-lama/info,MASALALU,Indonesian,Rp100.000 for two people (approx.),Home Delivery|Takeaway Available|Outdoor Seating|Smoking Area|Praying Room|Indoor Seating|Wifi|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2468900000,106.7567290000']",3.8,40
https://www.zomato.com/jakarta/la-mouette-1-melawai/info,La Mouette,Bakery,Rp60.000 for two people (approx.),Takeaway Available|Indoor Seating|Desserts and Bakes,"['https://www.google.com/maps/dir/?api=1&destination=-6.2456103929,106.8017877638']",3.5,12
https://www.zomato.com/jakarta/koi-th%C3%A9-gandaria/info,KOI Th̩,Bubble Tea|Beverages,Rp70.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2434110000,106.7838010000']",3.9,60
https://www.zomato.com/jakarta/osaka-takoyaki-melawai/info,Osaka Takoyaki,Japanese|Street Food,Rp80.000 for two people (approx.),Takeaway Available|Outdoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2442802461,106.8012120947']",3.2,12
https://www.zomato.com/jakarta/kisaku-melawai/info,KISAKU,Coffee,Rp60.000 for two people (approx.),Takeaway Available|Indoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.2443720000,106.8027290000']",-,3
https://www.zomato.com/jakarta/kampoeng-bangka-melawai/info,Kampoeng Bangka,Bangka|Seafood,Rp200.000 for two people (approx.),Takeaway Available|Live Entertainment|Praying Room|Wifi|Indoor Seating|Table booking recommended|Smoking Area|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2476191047,106.7978596687']",3.6,50
https://www.zomato.com/jakarta/le-gran-cafe-hotel-gran-mahakam-blok-m/info,Le Gran Cafe - Hotel Gran Mahakam,Indonesian|Western,Rp700.000 for two people (approx.) Without alcohol,Breakfast|Takeaway Available|Full Bar Available|Table booking recommended|Kid Friendly|Private Dining Area Available|Wifi|Buffet|Indoor Seating|Disabled Friendly|Praying Room|Smoking Area,"['https://www.google.com/maps/dir/?api=1&destination=-6.2444160000,106.7954770000']",4.3,184
https://www.zomato.com/jakarta/kedai-kumala-kebayoran-lama/info,Kedai Kumala,Indonesian|Palembang,Rp80.000 for two people (approx.),Breakfast|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2217940000,106.7826140000']",3.9,59
https://www.zomato.com/jakarta/a-fung-baso-sapi-asli-gandaria/info,A Fung Baso Sapi Asli,Bakso,Rp130.000 for two people (approx.),Home Delivery|Takeaway Available|Self Service|Indoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.2446520000,106.7837300000']",-,1
https://www.zomato.com/jakarta/omahe-mbok-giyem-kebayoran-lama/info,Omahe Mbok Giyem,Jawa,Rp80.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2166030000,106.7700410000']",3.5,7
https://www.zomato.com/jakarta/dum-dum-thai-drinks-1-gandaria/info,Dum Dum Thai Drinks,Thai|Beverages,Rp55.000 for two people (approx.),Takeaway Available|Indoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.2442770000,106.7834030000']",-,2
https://www.zomato.com/jakarta/pecel-madiun-babeh-blok-m/info,Pecel Madiun Babeh,Jawa,Rp70.000 for two people (approx.),Takeaway Available|Indoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.2407450000,106.7908270000']",3.2,7
https://www.zomato.com/jakarta/seroeni-gandaria/info,Seroeni,Malaysian|Chinese,"Rp350.000 for two people (approx.)|Halo Foodies. Malam ini aku makan bersama keluargaku di Seroeni yang lokasinya ada di Gandaria City. Restoran ini baru berjalan 5-6 bulan. Ambience nya sendiri cozy banget dan tempat nya tidak terlalu luas. Tempat nya juga bersih dan pelayanan nya sangat memuaskan dalam artian ramah, responsif, dan mengeluarkan hidangan nya sangat cepat. Disini kami pesan beberapa menu :Appetizer :1. Chicken and Corn Soup (Rp 42.000)Soup nya lumayan kental. Untuk rasanya enak. Corn sama ayam cincang nya tekstur nya lembut pas aku makan. 2. Supreme Fish Lip and Fish Maw Soup (Rp 58.000)Aku suka dengan menu ini. Enak untuk rasanya. Lumayan encer soup nya. Fish Lip nya kenyal pas aku makan.Main...read more",Takeaway Available|Indoor Seating|Table booking not available|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2442300000,106.7836630000']",3.8,27
https://www.zomato.com/jakarta/brun-gandaria/info,BRUN,Beverages,Rp70.000 for two people (approx.),Takeaway Available|Indoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.2439020000,106.7830770000']",3.9,46
https://www.zomato.com/jakarta/sop-konro-tata-ribs-gandaria/info,Sop Konro & Tata Ribs,Makassar,Rp100.000 for two people (approx.),Breakfast|Home Delivery|Takeaway Available|Indoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.2447170000,106.7835480000']",3.6,22
https://www.zomato.com/jakarta/fried-chicken-master-blok-m/info,Fried Chicken Master,Fast Food,Rp80.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2443202406,106.7976799607']",4.2,119
