index,url,rest_price_idr,review,lat,long,is_chain,rating,new_code_res_type,rank_res_type,new_code_fac,rank_fac
44,https://www.zomato.com/jakarta/seven-beans-coffee-kelapa-gading/info,100000.0,10.0,-6.1705923253,106.9092836604,0,3.4,0,31,0,334
45,https://www.zomato.com/jakarta/lapo-ni-tondongta-pramuka-kelapa-gading/info,100000.0,29.0,-6.146824,106.909847,0,3.6,0,161,0,307
46,https://www.zomato.com/jakarta/burgreens-eatery-kelapa-gading/info,250000.0,59.0,-6.151242,106.89323,0,4.0,0,160,0,742
47,https://www.zomato.com/jakarta/bakmi-bintang-gading-kelapa-gading/info,120000.0,326.0,-6.1512492891,106.9090590254,1,4.3,0,579,0,9
48,https://www.zomato.com/jakarta/pizzeria-cavalese-kelapa-gading/info,200000.0,74.0,-6.150949,106.89295,0,4.0,0,47,0,1612
49,https://www.zomato.com/jakarta/street-steak-kelapa-gading/info,220000.0,935.0,-6.165462,106.902579,0,4.5,0,24,0,726
50,https://www.zomato.com/jakarta/d-crepes-1-kelapa-gading/info,50000.0,25.0,-6.1564754584,106.909481138,1,3.5,0,87,0,84
51,https://www.zomato.com/jakarta/eggo-waffle-kelapa-gading/info,60000.0,98.0,-6.1565557939,106.9092025235,0,3.4,0,10,0,5
52,https://www.zomato.com/jakarta/restoran-sederhana-kelapa-gading/info,160000.0,40.0,-6.159694,106.905635,1,3.9,0,62,0,9
53,https://www.zomato.com/jakarta/chicken-phong-kelapa-gading/info,280000.0,66.0,-6.1497558979,106.8910231814,0,3.7,0,9,0,87
54,https://www.zomato.com/jakarta/warung-tahu-kelapa-gading/info,200000.0,32.0,-6.152185,106.90588,0,3.2,0,15,4,0
55,https://www.zomato.com/jakarta/eaton-noodles-kelapa-gading/info,150000.0,36.0,-6.1616765759,106.9044704363,0,3.0,0,137,0,233
56,https://www.zomato.com/jakarta/kepiting-cak-gundul-kelapa-gading/info,120000.0,98.0,-6.146251,106.909404,0,3.5,0,20,0,59
57,https://www.zomato.com/jakarta/mr-musa-kelapa-gading/info,200000.0,49.0,-6.1496008917,106.8995579705,0,3.8,0,9,0,6
58,https://www.zomato.com/jakarta/hunan-fish-noodle-kelapa-gading/info,100000.0,40.0,-6.1570464738,106.9088856876,0,3.4,2,2,4,0
59,https://www.zomato.com/jakarta/warung-nyonyah-kelapa-gading/info,100000.0,7.0,-6.152198,106.905832,0,3.3,0,21,4,0
60,https://www.zomato.com/jakarta/warunk-upnormal-1-kelapa-gading/info,100000.0,182.0,-6.1526433393,106.9094365463,1,3.3,0,34,0,168
61,https://www.zomato.com/jakarta/bukan-ropang-kelapa-gading/info,80000.0,122.0,-6.1452450311,106.8947692215,0,3.8,0,40,0,254
62,https://www.zomato.com/jakarta/sari-sanjaya-kelapa-gading/info,100000.0,166.0,-6.153631,106.908943,1,3.9,0,20,4,0
63,https://www.zomato.com/jakarta/mr-ca-jang-kelapa-gading/info,200000.0,24.0,-6.1510642821,106.8907764182,0,3.6,0,9,0,50
64,https://www.zomato.com/jakarta/bakmi-medan-kebon-jahe-kelapa-gading/info,90000.0,34.0,-6.1474181323,106.9097832218,0,3.8,0,173,1,2
65,https://www.zomato.com/jakarta/holy-noodle-kelapa-gading/info,200000.0,163.0,-6.152228,106.891892,0,4.3,0,9,0,129
66,https://www.zomato.com/jakarta/yoons-kitchen-kelapa-gading/info,150000.0,11.0,-6.1601615469,106.9071238115,0,3.1,0,9,0,945
67,https://www.zomato.com/jakarta/sate-khas-senayan-1-kelapa-gading/info,280000.0,80.0,-6.1455907144,106.8920665607,1,3.5,0,38,0,23
68,https://www.zomato.com/jakarta/lum-dee-thai-bbq-kelapa-gading/info,100000.0,47.0,-6.1672579786,106.9016028196,0,3.6,0,665,0,12
69,https://www.zomato.com/jakarta/chung-gi-wa-2-kelapa-gading/info,300000.0,59.0,-6.151973,106.889977,1,3.4,0,9,0,15
70,https://www.zomato.com/jakarta/yuraku-kelapa-gading/info,330000193000.0,485.0,-6.158744,106.907144,0,4.3,2,1,0,90
72,https://www.zomato.com/jakarta/phyllo-coffee-kitchen-kelapa-gading/info,130000.0,43.0,-6.175961,106.895456,0,3.9,0,21,0,11
73,https://www.zomato.com/jakarta/sinar-khek-2-kelapa-gading/info,60000.0,71.0,-6.150496,106.892064,0,3.5,2,2,0,6
74,https://www.zomato.com/jakarta/kopi-luwak-kelapa-gading/info,200000.0,41.0,-6.15724,106.908243,1,3.2,0,82,0,46
75,https://www.zomato.com/jakarta/shabu-shabu-express-kelapa-gading/info,200000.0,17.0,-6.157377,106.90781,1,3.5,2,1,0,1009
76,https://www.zomato.com/jakarta/gahyo-korean-bbq-kelapa-gading/info,500000.0,20.0,-6.151232,106.890206,0,3.7,0,60,0,983
77,https://www.zomato.com/jakarta/lapo-ni-dainang-by-sirait-kelapa-gading/info,80000.0,33.0,-6.170679,106.900164,0,3.9,0,161,4,0
78,https://www.zomato.com/jakarta/ayam-suwir-wara-wiri-kelapa-gading/info,80000.0,30.0,-6.171951,106.905466,0,3.8,4,0,1,2
79,https://www.zomato.com/jakarta/bamboo-dimsum-1-kelapa-gading/info,1.00000212700015e+17,134.0,-6.156545127,106.9088722765,1,2.0,2,2,0,1064
80,https://www.zomato.com/jakarta/bebek-ummi-kelapa-gading/info,100000.0,237.0,-6.1672679787,106.9010167569,0,4.2,0,74,0,881
81,https://www.zomato.com/jakarta/pundi-selera-kelapa-gading/info,100000.0,29.0,-6.152123,106.890253,0,3.6,0,146,0,97
82,https://www.zomato.com/jakarta/sari-laut-ujung-pandang-1-kelapa-gading/info,200000.0,52.0,-6.1701749915,106.8996079266,0,3.9,0,547,0,78
83,https://www.zomato.com/jakarta/bak-kut-teh-100-kelapa-gading/info,200000.0,48.0,-6.163928,106.902905,0,3.7,2,2,0,62
84,https://www.zomato.com/jakarta/gokana-ramen-teppan-kelapa-gading/info,110000.0,161.0,-6.1590091887,106.9070822373,1,3.5,0,166,0,13
85,https://www.zomato.com/jakarta/seeds-double-tree-coffee-kelapa-gading/info,100000.0,52.0,-6.151762,106.892223,0,3.8,0,176,0,1102
86,https://www.zomato.com/jakarta/tom-sushi-kelapa-gading/info,100000.0,283.0,-6.1507652708,106.8918291852,1,4.0,0,8,0,4
87,https://www.zomato.com/jakarta/bun-ong-kelapa-gading/info,200000.0,64.0,-6.1635492724,106.9032848999,0,2.7,2,2,0,410
88,https://www.zomato.com/jakarta/fiesta-steak-2-kelapa-gading/info,250000.0,67.0,-6.145945,106.892201,1,2.9,0,24,0,13
89,https://www.zomato.com/jakarta/roastworks-coffee-sisha-kelapa-gading/info,250000.0,38.0,-6.1506892679,106.8928299844,0,3.8,0,445,0,1292
90,https://www.zomato.com/jakarta/shabu-shabu-shaburi-kelapa-gading/info,600000.0,807.0,-6.157506,106.907825,1,4.5,2,1,0,1210
91,https://www.zomato.com/jakarta/chefs-kitchen-kelapa-gading/info,150000.0,56.0,-6.147731,106.909093,0,3.9,0,404,0,198
92,https://www.zomato.com/jakarta/mie-onlok-palembang-1-kelapa-gading/info,100000.0,41.0,-6.1710353255,106.903620176,0,3.6,0,506,0,27
93,https://www.zomato.com/jakarta/momoiro-1-kelapa-gading/info,80000.0,20.0,-6.156792467,106.9092595205,1,3.6,0,12,0,5
94,https://www.zomato.com/jakarta/aj-bakery-kelapa-gading/info,1.500001700018291e+16,61.0,-6.17244,106.898219,0,3.7,0,12,0,64
95,https://www.zomato.com/jakarta/lind-s-kelapa-gading/info,200000.0,138.0,-6.1523476622,106.8979818374,0,4.1,0,234,0,1180
96,https://www.zomato.com/jakarta/sop-ikan-batam-1-kelapa-gading/info,120000.0,25.0,-6.153803,106.893135,1,3.0,0,186,4,0
97,https://www.zomato.com/jakarta/coffeegasm-kelapa-gading/info,150000.0,118.0,-6.15105,106.8911,0,4.2,1,4,0,64
98,https://www.zomato.com/jakarta/ateng-rumah-makan-kelapa-gading/info,200000.0,73.0,-6.1734096536,106.9001363218,0,4.0,0,656,4,0
99,https://www.zomato.com/jakarta/steamboat-house-kelapa-gading/info,100000.0,21.0,-6.1564754584,106.9088974223,0,3.2,2,1,0,42
100,https://www.zomato.com/jakarta/remboelan-kelapa-gading/info,300000.0,250.0,-6.156932,106.910132,1,4.1,0,38,0,153
101,https://www.zomato.com/jakarta/depot-3-6-9-shanghai-dumpling-noodle-kelapa-gading/info,300000.0,38.0,-6.1625975914,106.9088947401,0,3.2,2,2,0,92
102,https://www.zomato.com/jakarta/rumpi-katumiri-kelapa-gading/info,150000.0,36.0,-6.1718046583,106.9049847499,0,3.5,4,0,0,1143
103,https://www.zomato.com/jakarta/bakmi-naga-kelapa-gading/info,150000.0,27.0,-6.1462774136,106.8923810497,0,2.7,0,16,0,23
104,https://www.zomato.com/jakarta/ombe-kofie-kelapa-gading/info,150000.0,148.0,-6.1584751763,106.9072455168,1,4.1,0,111,0,30
105,https://www.zomato.com/jakarta/furama-kelapa-gading/info,250000.0,76.0,-6.15183,106.897782,0,3.6,2,2,0,23
106,https://www.zomato.com/jakarta/auntie-annes-kelapa-gading/info,80000.0,65.0,-6.158195,106.907257,1,3.8,0,12,0,5
107,https://www.zomato.com/jakarta/hanaguni-kelapa-gading/info,250000.0,602.0,-6.154447,106.894118,0,4.4,2,1,0,50
108,https://www.zomato.com/jakarta/excelso-kelapa-gading/info,230000.0,70.0,-6.1571731438,106.9082637504,1,3.6,0,122,0,11
109,https://www.zomato.com/jakarta/mie-ayam-asoy-kelapa-gading/info,80000.0,41.0,-6.165802,106.902397,0,3.5,0,16,0,9
110,https://www.zomato.com/jakarta/origins-authentic-kelapa-gading/info,50000.0,115.0,-6.156953138,106.9098351896,0,3.9,0,13,0,5
111,https://www.zomato.com/jakarta/papa-rons-pizza-kelapa-gading/info,200000.0,71.0,-6.149727,106.902827,1,3.9,0,47,0,4
112,https://www.zomato.com/jakarta/din-tai-fung-kelapa-gading/info,400000.0,167.0,-6.150665,106.892482,1,4.1,2,2,0,157
113,https://www.zomato.com/jakarta/singapore-koo-kee-restaurant-kelapa-gading/info,150000.0,26.0,-6.1574301504,106.910274066,0,2.6,0,45,4,0
114,https://www.zomato.com/jakarta/cafe-kohi-kelapa-gading/info,45000.0,38.0,-6.170029,106.901158,0,2.8,1,4,0,6
115,https://www.zomato.com/jakarta/warung-koffie-batavia-kelapa-gading/info,150000.0,72.0,-6.157237,106.908047,1,2.7,0,145,0,940
116,https://www.zomato.com/jakarta/bakmi-gading-permai-bgp-kelapa-gading/info,100000.0,566.0,-6.150389923,106.9096702337,0,4.5,0,250,0,735
117,https://www.zomato.com/jakarta/yima-yila-kelapa-gading/info,200000.0,90.0,-6.157651,106.906869,0,4.1,2,2,0,364
118,https://www.zomato.com/jakarta/alberto-gelato-patisserie-kelapa-gading/info,150000.0,80.0,-6.148633185,106.9092166051,0,4.0,0,22,0,101
119,https://www.zomato.com/jakarta/kemangi-kelapa-gading/info,100000.0,84.0,-6.1648919563,106.9028896093,0,3.2,0,809,0,159
120,https://www.zomato.com/jakarta/fish-co-kelapa-gading/info,330000.0,196.0,-6.156142,106.908818,1,4.1,0,150,0,68
121,https://www.zomato.com/jakarta/mr-dakgalbi-kelapa-gading/info,250000.0,207.0,-6.157991,106.907332,0,4.1,0,9,0,7
122,https://www.zomato.com/jakarta/orbit-gelato-kelapa-gading/info,100000.0,61.0,-6.164693954,106.9031243026,0,4.1,0,130,0,1283
123,https://www.zomato.com/jakarta/mornington-kitchen-coffee-kelapa-gading/info,200000.0,170.0,-6.1523463289,106.9055949524,0,4.1,0,653,0,1226
124,https://www.zomato.com/jakarta/cold-stone-creamery-kelapa-gading/info,11000050.0,52.0,-6.15793,106.907517,1,3.9,0,22,0,89
125,https://www.zomato.com/jakarta/omija-kelapa-gading/info,250000.0,98.0,-6.1459580653,106.8919502199,1,3.4,0,9,0,118
126,https://www.zomato.com/jakarta/kfc-kelapa-gading/info,150000.0,52.0,-6.15715,106.907121,1,3.1,0,26,0,212
127,https://www.zomato.com/jakarta/depot-nasi-campur-pojok-tambak-bayan-kelapa-gading/info,150000.0,36.0,-6.165204,106.913413,0,3.6,1,5,0,11
128,https://www.zomato.com/jakarta/hang-tuah-kopi-toastery-kelapa-gading/info,100000.0,171.0,-6.169655,106.900558,0,4.2,0,615,0,930
129,https://www.zomato.com/jakarta/pizza-e-birra-sports-bar-kelapa-gading/info,300000.0,83.0,-6.150422,106.891011,1,3.9,0,47,0,15
130,https://www.zomato.com/jakarta/kopi-presso-coffee-kitchen-kelapa-gading/info,180000.0,45.0,-6.1599655429,106.9077209383,0,3.6,0,344,0,237
131,https://www.zomato.com/jakarta/gooma-tea-bar-kelapa-gading/info,70000.0,271.0,-6.158203,106.907433,0,4.7,0,13,0,84
132,https://www.zomato.com/jakarta/sop-buntut-ibu-henny-kelapa-gading/info,180000.0,95.0,-6.163968,106.90289,0,3.9,4,0,0,152
133,https://www.zomato.com/jakarta/carls-jr-kelapa-gading/info,180000.0,72.0,-6.157892,106.907643,1,3.5,0,63,4,0
134,https://www.zomato.com/jakarta/bakmi-phak-cam-kee-kelapa-gading/info,80000.0,26.0,-6.1629679305,106.9127363339,0,3.6,1,6,4,0
135,https://www.zomato.com/jakarta/ayam-goreng-pemuda-surabaya-kelapa-gading/info,120000.0,36.0,-6.165296,106.902059,0,3.1,1,5,0,32
136,https://www.zomato.com/jakarta/kyo-sushi-2-kelapa-gading/info,150000.0,35.0,-6.1643582832,106.9031994045,0,3.2,0,8,0,3
137,https://www.zomato.com/jakarta/suwon-galbi-2-kelapa-gading/info,300000.0,32.0,-6.157021,106.900362,0,3.2,0,67,0,1445
138,https://www.zomato.com/jakarta/jonbons-coffee-eatery-kelapa-gading/info,150000.0,23.0,-6.169602,106.907027,0,3.8,0,126,0,34
139,https://www.zomato.com/jakarta/sate-domba-africa-kelapa-gading/info,100000.0,88.0,-6.16047622,106.9074349478,0,4.0,0,53,0,12
140,https://www.zomato.com/jakarta/bakmi-ayam-honey-kelapa-gading/info,70000.0,32.0,-6.150818,106.891819,0,3.3,1,6,4,0
141,https://www.zomato.com/jakarta/okirobox-kelapa-gading/info,110000.0,45.0,-6.1567117982,106.908965148,1,3.4,2,1,0,4
142,https://www.zomato.com/jakarta/pizza-place-kelapa-gading/info,100000250002.0,121.0,-6.147227,106.895199,1,4.1,0,59,0,6
