district,rest_url,count
https://www.zomato.com/jakarta/kelapa-gading-restaurants,https://www.zomato.com/jakarta/pizzeria-cavalese-kelapa-gading/info,501
https://www.zomato.com/jakarta/kelapa-gading-restaurants,https://www.zomato.com/jakarta/street-steak-kelapa-gading/info,501
https://www.zomato.com/jakarta/kelapa-gading-restaurants,https://www.zomato.com/jakarta/d-crepes-1-kelapa-gading/info,501
https://www.zomato.com/jakarta/kelapa-gading-restaurants,https://www.zomato.com/jakarta/eggo-waffle-kelapa-gading/info,501
https://www.zomato.com/jakarta/kelapa-gading-restaurants,https://www.zomato.com/jakarta/restoran-sederhana-kelapa-gading/info,501
https://www.zomato.com/jakarta/kelapa-gading-restaurants,https://www.zomato.com/jakarta/chicken-phong-kelapa-gading/info,501
https://www.zomato.com/jakarta/kelapa-gading-restaurants,https://www.zomato.com/jakarta/warung-tahu-kelapa-gading/info,501
https://www.zomato.com/jakarta/kelapa-gading-restaurants,https://www.zomato.com/jakarta/eaton-noodles-kelapa-gading/info,501
https://www.zomato.com/jakarta/kelapa-gading-restaurants,https://www.zomato.com/jakarta/kepiting-cak-gundul-kelapa-gading/info,501
https://www.zomato.com/jakarta/kelapa-gading-restaurants,https://www.zomato.com/jakarta/mr-musa-kelapa-gading/info,501
https://www.zomato.com/jakarta/kelapa-gading-restaurants,https://www.zomato.com/jakarta/hunan-fish-noodle-kelapa-gading/info,501
https://www.zomato.com/jakarta/kelapa-gading-restaurants,https://www.zomato.com/jakarta/warung-nyonyah-kelapa-gading/info,501
https://www.zomato.com/jakarta/kelapa-gading-restaurants,https://www.zomato.com/jakarta/warunk-upnormal-1-kelapa-gading/info,501
https://www.zomato.com/jakarta/kelapa-gading-restaurants,https://www.zomato.com/jakarta/bukan-ropang-kelapa-gading/info,501
https://www.zomato.com/jakarta/kelapa-gading-restaurants,https://www.zomato.com/jakarta/sari-sanjaya-kelapa-gading/info,501
https://www.zomato.com/jakarta/kelapa-gading-restaurants,https://www.zomato.com/jakarta/mr-ca-jang-kelapa-gading/info,501
https://www.zomato.com/jakarta/kelapa-gading-restaurants,https://www.zomato.com/jakarta/bakmi-medan-kebon-jahe-kelapa-gading/info,501
https://www.zomato.com/jakarta/kelapa-gading-restaurants,https://www.zomato.com/jakarta/holy-noodle-kelapa-gading/info,501
https://www.zomato.com/jakarta/kelapa-gading-restaurants,https://www.zomato.com/jakarta/yoons-kitchen-kelapa-gading/info,501
